№,проект,текст,id
1,Жулебино парк,"«Жулебино парк» находится в Московской области, в городе Люберцы. Отсюда можно за 5 минут дойти до станции метро «Котельники», а за 20 — доехать до торгового центра «МЕГА Белая Дача».",1674291
2,Белая Дача парк,"Жилой квартал «Белая Дача парк» возводится в Московской области, в городе Котельники, в двух километрах от МКАД.",299766
3,Ильинские луга,"Жилой район «Ильинские луга» находится в 10 километрах от МКАД по Новорижскому шоссе, в 20 минутах на автомобиле от станций метро «Волоколамская», «Тушинская» и «Строгино». В будущем ближе к проекту, в 9 минутах на машине, откроется станция «Ильинская».",305036
4,Бутово парк 2,"Район «Бутово парк 2» расположен в 5,5 км к югу от МКАД по Варшавскому шоссе. Отсюда до метро — 15–20 минут на автобусе. Недавно открылась станция МЦД «Бутово» — до неё можно доехать за 10 минут, а оттуда до центра Москвы — 45 минут на комфортном электропоезде.",107488
5,Одинцово-1,"Жилой район «Одинцово-1» расположен в 10 километрах от МКАД по Минскому шоссе, в 15 минутах езды от станции МЦД «Одинцово».",227498
6,Восточное Бутово,"Новый квартал «Восточное Бутово» расположен всего в пяти километрах от МКАД по Симферопольскому шоссе, в Ленинском районе Московской области. Это экологически благоприятное место по соседству с Бутовским лесопарком.",64217
7,Измайловский лес,"В районе будет 15 домов, школа, торговый центр, поликлиника, пять многоуровневых паркингов и три детских сада, один из которых уже открылся. На первых этажах работают магазины, кафе и другие полезные сервисы. Рядом с каждым домом расположены уютные дворы-парки с местами для отдыха, детскими и спортивными площадками. В жилом квартале есть контейнеры для крупногабаритного мусора и раздельного сбора отходов, например для пластика и алюминиевых банок.",515791
8,Западный порт,Жилой квартал возводится на берегу Москвы-реки в 5 минутах пешком от метро «Фили». Дорога до центра города на машине занимает 15 минут.,518323
9,Матвеевский парк,Жилой квартал возводится на берегу Москвы-реки в 5 минутах пешком от метро «Фили». Дорога до центра города на машине занимает 15 минут.,2668860
10,Новое Очаково,"«Новое Очаково» находится в 3 минутах пешком от станции «Очаково», рядом с «Долиной реки Очаковки» и Очаковскими прудами",2967663
11,Vangarden,"Жилой квартал Vangarden строится на западе Москвы — в районе Очаково-Матвеевское, в 5 минутах пешком от метро «Аминьевская». Фасады спроектировало голландское архитектурное бюро de Architekten Cie, а благоустройство — британское бюро Gillespies.",2827771
12,Волоколамское 24,"«Волоколамское 24» находится на северо-западе Москвы, в ста метрах от МЦК «Стрешнево» и десяти минутах от МЦД «Стрешнево». Путь на машине до ТТК занимает всего 9 минут, до МКАД — 15 минут.",2196903
13,Алтуфьевское 53,"Жилой квартал «Алтуфьевское 53» расположен на северо-востоке Москвы. От него можно быстро доехать до Алтуфьевского шоссе, с которого удобно выезжать на ТТК и МКАД. Ближайшая станция метро — «Отрадное», до которой можно доехать на общественном транспорте за 15 минут. За 20 минут получится доехать до станции «Бибирево». Недалеко, в 20-ти минутах ходьбы, находится станция МЦД «Дегунино».",3095748
14,Барклая 6,"Проект строится в районе Филёвский парк, где есть всё для комфортной жизни: школы, магазины, поликлиники, парки и даже набережная. До метро «Парк Победы» — 10 минут пешком, а на машине можно за 5 минут доехать до Кутузовского проспекта и за 10 — до ТТК.",2629550
15,Люблинский парк,"Жилой квартал «Люблинский парк» расположен на юго-востоке Москвы, в шаговой доступности от станции «Братиславская». На метро до центра ехать всего 30 минут. Также недалеко станция МЦД «Перерва», от которой можно уехать в Москву или в область.",1686471
16,Полар,«Полар» расположен в двух минутах пешком от Медведковского заказника и вблизи метро «Медведково».,2945105
17,Ютаново,"«Ютаново» расположен в районе Южное Чертаново, известном своими парками, рощами и прудами. В 17 минутах от домов находятся станции метро «Улица Академика Янгеля» и «Аннино», а в 4 минутах — станция МЦД-2 «Красный строитель».",2826536
18,Green park ,Жилой квартал Green park находится недалеко от станций метро «Ботанический сад» и «Отрадное».,194000
19,Мичуринский парк,"«Мичуринский парк» расположен на западе Москвы, в районе Очаково-Матвеевское, в 5 минутах пешком от метро «Озёрная».",2516673
20,Бунинские луга,"Жилой квартал «Бунинские луга» расположен в Новой Москве, рядом с прудами и парками. В семи километрах — МКАД, до станции метро «Бунинские аллеи» можно дойти за 20 минут, а до станции «Коммунарка» — доехать за 10 минут на автомобиле. В 2024 году метро станет ближе: на Сокольнической ветке откроется станция «Потапово», до которой будет 10 минут пешком.",166185
21,Кронштадтский 9,"Жилой квартал «Кронштадтский 9» возводится в Головинском — в одном из районов с лучшей экологией в Москве. Совсем рядом станция метро «Водный стадион» — до неё 3 минуты пешком. Поездка на машине до Ленинградского шоссе займёт 2 минуты, до ТТК — 10 минут, а до МКАД — 16 минут. Недалеко от жилого квартала находятся парки и пруды — спокойные места для прогулок и отдыха.",2371436
22,Митинский лес,"Жилой квартал «Митинский лес» строится в Митино — районе, известном хорошей экологией. По соседству с домами протянулся большой парк. За 20 минут отсюда можно дойти до метро «Пятницкое шоссе», а за 30 — доехать на автомобиле до центра Москвы.",2292079
23,Кавказский бульвар 51,"Проект «Кавказский бульвар 51» строится в районе Царицыно, недалеко от одноимённого музея-заповедника. До метро «Кантемировская» — 17 минут пешком.",2776191
24,Кольская 8,"Жилой квартал «Кольская 8» строится в Бабушкинском районе, в 8 минутах пешком от метро «Свиблово». До Ярославского шоссе на машине — 8 минут, а до ТТК — 16. До нескольких парков и набережной реки Яузы можно дойти пешком.",2558120
25,Амурский парк,"Жилой квартал «Амурский парк» строится на востоке Москвы, в 10 минутах ходьбы от станций метро «Черкизовская» и МЦК «Локомотив». В проекте 15 жилых домов, подземный паркинг и детский сад. Во дворах будут детские площадки и места для отдыха. На первых этажах откроются магазины, кафе и другие сервисы.",2277478
26,Второй Нагатинский,"Жилой квартал строится на юге Москвы, в районе Нагатино-Садовники. Рядом две станции метро: до «Нагатинской» можно дойти за 15 минут, а до «Коломенской» — за 18 минут. И совсем недалеко — парки и набережная Москвы-реки.",2384897
27,Лосиноостровский парк,"«Лосиноостровский парк» строится в районе Метрогородок, рядом с метро «Бульвар Рокоссовского» и в 6 минутах пешком от заповедника Лосиный остров.",2700391
28,Саларьево парк,"«Саларьево парк» расположен в Новой Москве, в четырёх километрах от МКАД по Киевскому шоссе. К жилому кварталу примыкают две станции метро: «Саларьево» с одной стороны и «Филатов луг» с другой. Поблизости Ульяновский парк и парк «Филатов луг».",375274
29,Большая Очаковская 2,"Проект «Большая Очаковская 2» расположен на западе Москвы, в 8 минутах ходьбы от станции метро «Аминьевская». На автомобиле можно доехать до Садового кольца за 20 минут.",2310453
30,Сокольнический вал 1,"«Сокольнический вал 1» возводится в историческом районе рядом с парком «Сокольники». От домов до Садового кольца можно доехать за 7 минут, а до ТТК — за 2 минуты. До метро «Сокольники» идти 20 минут, но в 2022 году планируют открыть станцию поближе.",2646215
31,Зелёный парк,"Жилой квартал «Зелёный парк» находится по соседству с Зеленоградским лесом, недалеко от станции Крюково — до неё 20 минут пешком. До Кутузовского шоссе можно доехать на машине за 3 минуты, а до Пятницкого шоссе — за 5 минут.",2772655
32,Полярная 25,"Жилой квартал «Полярная 25» расположен на севере Москвы. Станция метро «Бабушкинская» находится в 15 минутах на городском транспорте или на электросамокате — рядом с проектом четыре самокатные парковки. В проект входит десять жилых корпусов, два детских сада, школа, подземный и многоуровневые паркинги.",727995
33,Holland park,"Holland park строится на берегу Москвы-реки, в 5 минутах пешком от метро «Спартак». Вокруг — реки и каналы, где можно отдыхать и заниматься водным спортом.",2172498
34,Руставели 14,"Жилой квартал «Руставели 14» строится на северо-востоке Москвы, в трёх минутах ходьбы от станции метро «Бутырская». От неё недолго ехать до центра — всего 15 минут, и вы на «Сретенском бульваре». А на машине можно доехать до ТТК за 5 минут. Рядом много мест для прогулок и отдыха: парки и арт-пространства.",2360507
35,Кронштадтский 14,«Кронштадтский 14» расположен в динамично развивающемся Головинском районе Северного административного округа Москвы. Станция метро «Водный стадион» находится в 9 минутах ходьбы.,2458885
36,Большая Академическая 85,"«Большая Академическая 85» возводится в Тимирязевском районе — одном из самых тихих и зелёных мест в Москве. От домов до метро «Окружная» — 15 минут пешком, а до станции МЦК «Лихоборы» — 11 минут.",2338244
37,Волжский парк,"Жилой район «Волжский парк» строится на юго-востоке Москвы. Отсюда до метро «Текстильщики» — 15 минут пешком, а до Садового кольца можно доехать за 10 минут.",2176387
38,Открытый парк,"«Открытый парк» — жилой квартал на востоке Москвы, в 20 минутах от станции метро «Бульвар Рокоссовского» и в 10 — от заповедника «Лосиный остров». В 3 минутах на автомобиле находится СВХ.",2869896
39,Сигнальный 16,"Проект возводится в районе Отрадное, всего в 10 минутах ходьбы от станции метро и МЦК «Владыкино». На автомобиле до Алтуфьевского шоссе ехать 5 минут, до ТТК — 20 минут. Совсем недалеко один из самых красивых парков Москвы — Ботанический сад РАН.",2362001
40,Первый Дубровский,«Первый Дубровский» возводится в Южнопортовом районе всего в 5 минутах пешком от станции метро «Волгоградский проспект» в 7 минутах на автомобиле до Садового кольца.,2969987
41,Академика Павлова,"«Академика Павлова» расположен в экологически чистом районе Кунцево. От домов до метро «Молодёжная» — всего 7 минут пешком. Рядом находятся зелёные парки, спортивные клубы, детские сады, школы и магазины.",699064
42,Новохохловская 15,"«Новохохловская 15» строится на юго-востоке Москвы, в семи минутах ходьбы от станций МЦК и МЦД «Новохохловская». Также рядом находятся станции метро «Нижегородская» и «Волгоградский проспект». До ТТК можно доехать за три минуты, до Садового кольца — за 10 минут.",2379676
43,Перовское 2,"Жилой квартал «Перовское 2» строится в 10 минутах ходьбы от станций метро и МЦК «Нижегородская». На автомобиле дорога до ТТК займёт 10 минут, до центра — 14 минут, а до СВХ и МКАД — меньше получаса.",2458516
44,Середневский лес,"«Середневский лес» строится в Новой Москве, недалеко от Валуевского леса. В 15 минутах на автомобиле две станции метро — «Филатов луг» и «Саларьево», от них до центра Москвы всего 35 минут. На рейсовом автобусе от жилого квартала до метро «Филатов луг» — 20 минут.",2250899
45,Бусиновский парк,"«Бусиновский парк» находится в пешей доступности от метро «Ховрино», рядом с четырьмя парками.",2359872
46,Никольские луга,"«Никольские луга» расположены на юго-западе Москвы, в пешей доступности от МЦД «Щербинка» и 15 минутах езды на автомобиле до МКАД.",2741257
47,Михайловский парк,"«Михайловский парк» возводится на юго-востоке Москвы, в шести километрах от ТТК. До станции метро «Окская» — 10 минут пешком, а до «Рязанского проспекта» — 20 минут.",1686421
48,Дмитровский парк,"Жилой квартал «Дмитровский парк» строится в пяти минутах ходьбы от парка «Ангарские пруды». До станции метро «Селигерская» 20 минут на общественном транспорте, а в 2022 году ближе откроются ещё две станции: «Лианозово» и «Улица 800-летия Москвы».",1761129
49,Красноказарменная 15,"«Красноказарменная 15» строится в историческом районе Лефортово, недалеко от набережной реки Яузы, в 12 минутах ходьбы от метро «Авиамоторная».",2309009
50,Мещерский лес,"Жилой район расположен рядом с Мещерским парком, в десяти минутах пешком от станции метро «Говорово». В пяти минутах ходьбы — станция «Мещерская».",181603
51,Ильменский 17,"Жилой квартал «Ильменский 17» возводится на севере Москвы — в пяти минутах пешком от метро «Селигерская». Вместе с домами будет построен детский сад, игровые площадки в каждом дворе и баскетбольная площадка.",2053400
52,Любрцы парк,"«Люберцы парк» строится в Московской области, в городе Люберцы. От жилого квартала до станции метро «Лухмановская» — всего 10 минут пешком, а до железнодорожной станции «Ухтомская» — 20 минут.",1677776
53,Шереметьевский,"Жилой комплекс «Шереметьевский» расположен в Москве, в районе Марьина Роща. Отсюда всего 10 минут пешком до станции метро «Савёловская» и 15 минут езды до центра города. А если ехать никуда не хочется, всё для жизни и отдыха есть в районе вокруг.",1686722
54,Мякинино парк,"Жилой район «Мякинино парк» возводится на западе Москвы, в двух километрах от МКАД. Рядом — Москва-река, лес и бухта. До метро «Мякинино», «Молодёжная» и «Строгино» — 20 минут на машине.",68486
